Timeout before autoexit passed in: -1
Identifier passed in: 26160
17:27:24.555154 | INFO    | fractal/logging/logging.c           | init_logger                   :108   | Logging initialized!
17:27:45.227010 | INFO    | fractal/network/tcp.c               | create_tcp_server_context     :476   | Client received at 3.236.143.226:51174!
17:27:45.277116 | INFO    | fractal/network/network.c           | handshake_private_key         :298   | Private key request received
17:27:45.327238 | INFO    | fractal/network/network.c           | handshake_private_key         :319   | Private key confirmed
17:27:45.327258 | INFO    | server/network.c                    | multithreaded_manage_client   :416   | Client connected.
17:27:45.327263 | INFO    | server/network.c                    | multithreaded_manage_client   :348   | Is a client connected? yes
17:27:45.327349 | INFO    | fractal/network/tcp.c               | create_tcp_server_context     :404   | Creating TCP Socket
17:27:45.327387 | INFO    | fractal/network/tcp.c               | create_tcp_server_context     :433   | Waiting for TCP Connection
17:27:45.327405 | INFO    | server/video.c                      | update_current_device         :268   | Received an update capture device request to dimensions 2880x1524 with DPI 192
17:27:45.327426 | INFO    | server/video.c                      | update_current_device         :290   | No capture device exists yet, creating a new one.
17:27:45.333057 | INFO    | server/main.c                       | main                          :387   | Window title changed. Broadcasting window title message.
17:27:45.333117 | INFO    | fractal/network/tcp.c               | tcp_send_constructed_packet   :182   | Sending a FractalPacket of size 203 over TCP
17:27:45.333195 | INFO    | server/main.c                       | main                          :397   | Sent window title message!
17:27:45.337153 | WARNING | fractal/network/udp.c               | udp_read_packet               :89    | Unexpected Packet Error: 4
17:27:45.393297 | WARNING | fractal/network/udp.c               | udp_read_packet               :89    | Unexpected Packet Error: 4
17:27:45.429076 | INFO    | server/handle_client_message.c      | handle_dimensions_message     :309   | Request to use codec 264 / dimensions 1280x800 / dpi 192 received
17:27:45.429108 | INFO    | server/handle_client_message.c      | handle_ping_message           :245   | Ping Received - Ping ID 1
17:27:45.433195 | INFO    | server/network.c                    | try_get_next_message_tcp      :267   | Received TCP Packet: Size 48
17:27:45.433208 | INFO    | server/main.c                       | get_fractal_client_messages   :159   | TCP Packet type: 109
17:27:45.433227 | INFO    | server/handle_client_message.c      | handle_tcp_ping_message       :277   | TCP Ping Received - TCP Ping ID 1
17:27:45.433254 | INFO    | fractal/network/tcp.c               | tcp_send_constructed_packet   :182   | Sending a FractalPacket of size 75 over TCP
17:27:45.453190 | INFO    | server/network.c                    | try_get_next_message_tcp      :267   | Received TCP Packet: Size 296
17:27:45.453205 | INFO    | server/main.c                       | get_fractal_client_messages   :159   | TCP Packet type: 113
17:27:45.453226 | INFO    | server/handle_client_message.c      | handle_clipboard_message      :340   | Received Clipboard Data! 0
17:27:45.555515 | INFO    | server/video.c                      | create_new_device             :138   | Created a new Capture Device of dimensions 2880x1524 with DPI 192
17:27:45.555532 | INFO    | server/video.c                      | do_update_encoder             :331   | Update encoder request received, will update the encoder now!
17:27:45.555541 | INFO    | server/video.c                      | do_update_encoder             :373   | Creating a new Encoder of dimensions 2880x1524 using Bitrate: 15400000 from 14.686584, and Codec 264
17:27:45.555560 | INFO    | fractal/video/codec/encode.c        | create_video_encoder          :161   | Creating nvidia encoder...
17:27:45.555568 | INFO    | fractal/video/codec/nvidia_encode.c | create_nvidia_encoder         :59    | Creating encoder of bitrate 15400000, codec 264, width 2880, height 1524, cuda_context 7c01dda0
17:27:45.621467 | INFO    | server/handle_client_message.c      | handle_dimensions_message     :309   | Request to use codec 264 / dimensions 1280x800 / dpi 192 received
17:27:45.621498 | INFO    | server/handle_client_message.c      | handle_dimensions_message     :321   | No need to update the decoder as the requested parameters are the same as the currently chosen parameters
17:27:45.647979 | INFO    | fractal/video/codec/encode.c        | create_video_encoder          :169   | Created nvidia encoder!
17:27:45.659708 | INFO    | server/video.c                      | multithreaded_send_video      :570   | Accumulated Frames: 2
17:27:45.680154 | INFO    | server/handle_client_message.c      | handle_dimensions_message     :309   | Request to use codec 264 / dimensions 1280x800 / dpi 192 received
17:27:45.680170 | INFO    | server/handle_client_message.c      | handle_dimensions_message     :321   | No need to update the decoder as the requested parameters are the same as the currently chosen parameters
17:27:45.703102 | INFO    | server/video.c                      | update_current_device         :268   | Received an update capture device request to dimensions 1280x800 with DPI 192
17:27:45.713487 | WARNING | fractal/network/udp.c               | udp_read_packet               :89    | Unexpected Packet Error: 4
17:27:45.729509 | WARNING | fractal/network/udp.c               | udp_read_packet               :89    | Unexpected Packet Error: 4
17:27:45.729650 | INFO    | server/video.c                      | update_current_device         :276   | Successfully reconfigured the capture device
17:27:45.729673 | INFO    | server/video.c                      | do_update_encoder             :331   | Update encoder request received, will update the encoder now!
17:27:45.729678 | INFO    | fractal/video/codec/nvidia_encode.c | nvidia_reconfigure_encoder    :564   | Reconfiguring encoder to width 1280, height 800, bitrate 15400000, codec 264
17:27:45.729804 | INFO    | server/video.c                      | do_update_encoder             :342   | Reconfigured Encoder to 1280x800 using Bitrate: 15400000 from 14.686584, and Codec 264
17:27:45.733318 | INFO    | server/video.c                      | multithreaded_send_video      :570   | Accumulated Frames: 4
17:27:45.750899 | INFO    | server/video.c                      | multithreaded_send_video      :570   | Accumulated Frames: 2
17:27:45.841712 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:45.882595 | INFO    | server/video.c                      | multithreaded_send_video      :570   | Accumulated Frames: 2
17:27:45.894622 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:45.930355 | INFO    | server/handle_client_message.c      | handle_ping_message           :245   | Ping Received - Ping ID 2
17:27:45.950538 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:46.006555 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:46.062567 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:46.115078 | INFO    | server/handle_client_message.c      | handle_dimensions_message     :309   | Request to use codec 264 / dimensions 2560x1600 / dpi 192 received
17:27:46.115096 | INFO    | server/video.c                      | update_current_device         :268   | Received an update capture device request to dimensions 2560x1600 with DPI 192
17:27:46.116211 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:46.125924 | WARNING | fractal/network/udp.c               | udp_read_packet               :89    | Unexpected Packet Error: 4
17:27:46.139569 | WARNING | fractal/network/udp.c               | udp_read_packet               :89    | Unexpected Packet Error: 4
17:27:46.139785 | INFO    | server/video.c                      | update_current_device         :276   | Successfully reconfigured the capture device
17:27:46.139800 | INFO    | server/video.c                      | do_update_encoder             :331   | Update encoder request received, will update the encoder now!
17:27:46.139808 | INFO    | fractal/video/codec/nvidia_encode.c | nvidia_reconfigure_encoder    :564   | Reconfiguring encoder to width 2560, height 1600, bitrate 15400000, codec 264
17:27:46.139921 | INFO    | server/video.c                      | do_update_encoder             :342   | Reconfigured Encoder to 2560x1600 using Bitrate: 15400000 from 14.686584, and Codec 264
17:27:46.152928 | INFO    | server/video.c                      | multithreaded_send_video      :570   | Accumulated Frames: 5
17:27:46.166555 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:46.189631 | INFO    | server/video.c                      | multithreaded_send_video      :570   | Accumulated Frames: 2
17:27:46.222567 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:46.274553 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:46.302092 | INFO    | server/video.c                      | multithreaded_send_video      :570   | Accumulated Frames: 3
17:27:46.324783 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:46.378553 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:46.434596 | INFO    | server/handle_client_message.c      | handle_ping_message           :245   | Ping Received - Ping ID 3
17:27:46.434651 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:46.487289 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:46.538549 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:46.594543 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:46.648937 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:46.702572 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:46.754567 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:46.806540 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:46.857636 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:46.910553 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:46.939035 | INFO    | server/handle_client_message.c      | handle_ping_message           :245   | Ping Received - Ping ID 4
17:27:46.966571 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:47.018586 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:47.070561 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:47.122835 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:47.174595 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:47.226521 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:47.282579 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:47.338560 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:47.390538 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:47.436339 | INFO    | server/network.c                    | try_get_next_message_tcp      :267   | Received TCP Packet: Size 48
17:27:47.436362 | INFO    | server/main.c                       | get_fractal_client_messages   :159   | TCP Packet type: 109
17:27:47.436368 | INFO    | server/handle_client_message.c      | handle_tcp_ping_message       :277   | TCP Ping Received - TCP Ping ID 2
17:27:47.436414 | INFO    | fractal/network/tcp.c               | tcp_send_constructed_packet   :182   | Sending a FractalPacket of size 75 over TCP
17:27:47.442561 | INFO    | server/handle_client_message.c      | handle_ping_message           :245   | Ping Received - Ping ID 5
17:27:47.442606 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:47.494545 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:47.550543 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:47.606600 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:47.658571 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:47.714553 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:47.766520 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:47.822569 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:47.874522 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:47.930521 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:47.947246 | INFO    | server/handle_client_message.c      | handle_ping_message           :245   | Ping Received - Ping ID 6
17:27:47.986533 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:48.038547 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:48.090558 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:48.146608 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:48.198572 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:48.254549 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:48.310579 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:48.362556 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:48.418535 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:48.454567 | INFO    | server/handle_client_message.c      | handle_ping_message           :245   | Ping Received - Ping ID 7
17:27:48.470528 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:48.522566 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:48.573273 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:48.626547 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:48.682565 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:48.735140 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:48.786560 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:48.838931 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:48.890558 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:48.943852 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:48.962565 | INFO    | server/handle_client_message.c      | handle_ping_message           :245   | Ping Received - Ping ID 8
17:27:48.994522 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:49.046607 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:49.098516 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:49.152488 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:49.206560 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:49.258552 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:49.314564 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:49.366521 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:49.422568 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:49.438644 | INFO    | server/network.c                    | try_get_next_message_tcp      :267   | Received TCP Packet: Size 48
17:27:49.438657 | INFO    | server/main.c                       | get_fractal_client_messages   :159   | TCP Packet type: 109
17:27:49.438666 | INFO    | server/handle_client_message.c      | handle_tcp_ping_message       :277   | TCP Ping Received - TCP Ping ID 3
17:27:49.438684 | INFO    | fractal/network/tcp.c               | tcp_send_constructed_packet   :182   | Sending a FractalPacket of size 75 over TCP
17:27:49.466574 | INFO    | server/handle_client_message.c      | handle_ping_message           :245   | Ping Received - Ping ID 9
17:27:49.474495 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:49.530533 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:49.586552 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:49.638517 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:49.690545 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:49.742530 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:49.798541 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:49.854537 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:49.910636 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:49.962561 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:49.966708 | INFO    | server/handle_client_message.c      | handle_ping_message           :245   | Ping Received - Ping ID 10
17:27:50.014531 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:50.070571 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:50.125974 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:50.178513 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:50.234542 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:50.286553 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:50.330392 | INFO    | fractal/network/tcp.c               | create_tcp_server_context     :454   | No TCP Connection Retrieved, ending TCP connection attempt.
17:27:50.330425 | INFO    | server/network.c                    | multithreaded_manage_client   :348   | Is a client connected? yes
17:27:50.330453 | INFO    | fractal/network/tcp.c               | create_tcp_server_context     :404   | Creating TCP Socket
17:27:50.330478 | INFO    | fractal/network/tcp.c               | create_tcp_server_context     :433   | Waiting for TCP Connection
17:27:50.342588 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:50.398569 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:50.450694 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:50.466839 | INFO    | server/handle_client_message.c      | handle_ping_message           :245   | Ping Received - Ping ID 11
17:27:50.502561 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:50.554514 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:50.606532 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:50.658519 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:50.710546 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:50.762554 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:50.814544 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:50.866525 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:50.918525 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:50.970544 | INFO    | server/handle_client_message.c      | handle_ping_message           :245   | Ping Received - Ping ID 12
17:27:50.970594 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:51.022613 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:51.074525 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:51.130536 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:51.186572 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:51.238538 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:51.290533 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:51.346557 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:51.398540 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:51.450745 | INFO    | server/network.c                    | try_get_next_message_tcp      :267   | Received TCP Packet: Size 48
17:27:51.450773 | INFO    | server/main.c                       | get_fractal_client_messages   :159   | TCP Packet type: 109
17:27:51.450777 | INFO    | server/handle_client_message.c      | handle_tcp_ping_message       :277   | TCP Ping Received - TCP Ping ID 4
17:27:51.450794 | INFO    | fractal/network/tcp.c               | tcp_send_constructed_packet   :182   | Sending a FractalPacket of size 75 over TCP
17:27:51.454531 | INFO    | server/handle_client_message.c      | handle_iframe_request_message :391   | Request for i-frame found: Creating iframe
17:27:51.477028 | INFO    | server/handle_client_message.c      | handle_ping_message           :245   | Ping Received - Ping ID 13
17:27:51.477266 | ERROR   | fractal/network/udp.c               | udp_nack                      :292   | Type is out of bounds! Something wrong happened
17:27:51.477284 | ERROR   | fractal/network/udp.c               | udp_nack                      :292   | Type is out of bounds! Something wrong happened
17:27:51.477296 | ERROR   | fractal/network/udp.c               | udp_nack                      :292   | Type is out of bounds! Something wrong happened
17:27:51.477309 | ERROR   | fractal/network/udp.c               | udp_nack                      :292   | Type is out of bounds! Something wrong happened
17:27:51.477321 | ERROR   | fractal/network/udp.c               | udp_nack                      :292   | Type is out of bounds! Something wrong happened
17:27:51.477327 | ERROR   | fractal/network/udp.c               | udp_nack                      :292   | Type is out of bounds! Something wrong happened
17:27:51.477347 | ERROR   | fractal/network/udp.c               | udp_nack                      :292   | Type is out of bounds! Something wrong happened
17:27:51.477362 | ERROR   | fractal/network/udp.c               | udp_nack                      :292   | Type is out of bounds! Something wrong happened
